"","SST","month","yday"
"1",25.6644285714286,"07",184
"2",26.465,"08",214
"3",27.8511111111111,"09",254
"4",25.9827142857143,"10",282
"5",28.4799444444444,"11",305
"6",26.7486,"12",338
"7",22.87555,"02",36
"8",23.5442222222222,"03",64
"9",23.954,"04",99
"10",25.5656666666667,"05",127
"11",27.7073529411765,"06",155
"12",25.5616666666667,"07",183
"13",28.2413529411765,"08",218
"14",28.6262307692308,"09",246
"15",28.8037,"10",281
"16",27.103,"11",333
"17",27.5876923076923,"12",344
"18",25.5475714285714,"01",9
"19",24.4480384615385,"02",42
"20",23.0012916666667,"03",70
"21",23.1576818181818,"04",98
"22",25.7706666666667,"05",124
"23",26.5587894736842,"06",155
"24",25.073,"07",189
"25",26.1884285714286,"08",217
"26",29.0346153846154,"09",253
"27",29.5265454545455,"10",283
"28",27.1186470588235,"11",322
"29",26.4840833333333,"12",344
"30",24.7774375,"01",12
"31",24.0849583333333,"02",40
"32",24.0626428571429,"03",61
"33",24.3022941176471,"04",96
"34",23.4213684210526,"05",127
"35",23.9804705882353,"06",152
"36",25.9817647058824,"07",194
"37",26.6368888888889,"08",222
"38",27.2453333333333,"09",257
"39",26.8229230769231,"10",278
"40",28.0650555555556,"11",313
"41",25.3728214285714,"12",341
"42",25.03925,"01",11
"43",22.34344,"02",41
"44",26.9697894736842,"03",67
"45",25.699347826087,"04",96
"46",25.0747,"05",130
"47",28.4532857142857,"06",158
"48",27.0369166666667,"08",215
"49",29.1661764705882,"09",257
"50",29.6357777777778,"10",276
"51",29.46028,"11",312
"52",27.8169047619048,"12",341
