"","NO2NO3","month","yday"
"1",0,"07",184
"2",0.0924051194718553,"08",214
"3",0.1,"09",254
"4",0,"10",282
"5",0,"11",305
"6",0,"12",338
"7",5.54552575494886,"02",36
"8",3.15000292060116,"03",64
"9",1.30653543857729,"04",99
"10",0.233294354812815,"05",127
"11",0,"06",155
"12",0,"07",183
"13",0,"08",218
"14",0,"09",246
"15",0.0275523224212084,"10",281
"16",2.53580740203525,"12",344
"17",1.8943216672743,"01",9
"18",2.70519700463634,"02",42
"19",5.7595693836129,"03",70
"20",0.078778720240691,"04",98
"21",0.0273884950278372,"06",155
"22",0.0346075342486012,"07",189
"23",0.0374099872867704,"08",217
"24",0.0556001443926143,"09",253
"25",0.0493873887989606,"10",283
"26",0.00821885709273965,"11",322
"27",0.0127216640154989,"12",344
"28",4.26721789237218,"01",12
"29",1.54091816367265,"02",40
"30",0.384839776271667,"03",61
"31",1.85291899156545,"04",96
"32",1.45913688738582,"05",127
"33",2.43165843541187,"06",152
"34",0.00901466552613053,"07",194
"35",0.371029998693235,"08",222
"36",-0.0117424331426407,"09",257
"37",0,"10",278
"38",0.296140483705257,"11",313
"39",0.103637346931266,"12",341
"40",1.47044895891715,"01",11
"41",0.656816350712341,"02",41
"42",0.472200698471248,"03",67
"43",0.29,"04",96
"44",0.0237531562390925,"05",130
"45",0.0510749539872286,"06",158
"46",0.0294655393118925,"08",215
"47",0.0236004354626709,"09",257
"48",1.19413611736586,"10",276
"49",0.0716732384420785,"11",312
"50",-0.228236619862117,"12",341
