"","Value","month","yday"
"1",1.3,"07",184
"2",8.4,"08",214
"3",10.5,"09",254
"4",9.96,"10",282
"5",3.25,"11",305
"6",3.39,"12",338
"7",9,"02",36
"8",9.65,"03",64
"9",9.11,"05",127
"10",5.81,"06",155
"11",9.94,"07",183
"12",10.19,"08",218
"13",1.66,"10",281
"14",3.66,"12",344
"15",11.06,"01",9
"16",10.99,"02",42
"17",10.23,"03",70
"18",16.81,"04",98
"19",7.84,"05",126
"20",10.24,"06",155
"21",5.15,"07",189
"22",5.04,"08",217
"23",4.67,"09",253
"24",4.85,"10",283
"25",3.25,"11",322
"26",2.69,"12",344
"27",14.61,"01",12
"28",17.58,"02",40
"29",10.9,"03",61
"30",7.42,"04",96
"31",11.77,"05",127
"32",9.97,"06",152
"33",6.9,"07",194
"34",8.71,"08",222
"35",8.6,"09",257
"36",1.6,"10",278
"37",4.55,"11",313
"38",4.21,"12",341
"39",10.28,"01",11
"40",0,"02",41
"41",8.47,"03",67
"42",8.47,"04",96
"43",4.78,"05",130
"44",6.6,"06",158
"45",6.64,"08",215
"46",3.87,"09",257
"47",3.48,"10",276
"48",2.82,"11",312
"49",3.04,"12",341
