"","SiOH","month","yday"
"1",0.519418822111977,"07",184
"2",3.96922886123813,"08",214
"3",0.62245022972094,"09",254
"4",1.15520529083368,"10",282
"5",0.959969485623875,"11",305
"6",1.43780384165985,"12",338
"7",0.652551074442634,"02",36
"8",1.23156144918701,"03",64
"9",1.12575890404646,"04",99
"10",1.0547026204061,"05",127
"11",0.387343789974299,"06",155
"12",0,"07",183
"13",0.0316157131887956,"08",218
"14",1.34632748057918,"09",246
"15",1.40703468772882,"10",281
"16",1.66461336855536,"12",344
"17",0.47722856702042,"01",9
"18",2.2238995155988,"02",42
"19",0.810882798616459,"03",70
"20",0.449612056668887,"04",98
"21",0.966943179120002,"06",155
"22",1.14151593823649,"07",189
"23",1.46372829345645,"08",217
"24",2.321290446927,"09",253
"25",3.55741460117309,"10",283
"26",3.61856014004372,"11",322
"27",2.13636872263071,"12",344
"28",1.6038461259553,"01",12
"29",1.70970059880239,"02",40
"30",1.452164969283,"03",61
"31",0.343804277837628,"04",96
"32",1.10579406417013,"05",127
"33",0.554336014452434,"06",152
"34",0.860004440175857,"07",194
"35",0.044423054801315,"08",222
"36",0.586661220164445,"09",257
"37",1.83297862409388,"10",278
"38",2.14438040032691,"11",313
"39",1.83724587519133,"12",341
"40",4.22041507410415,"01",11
"41",1.90450735103246,"02",41
"42",2.15711074781705,"03",67
"43",0.912482553423876,"04",96
"44",0.619455562654001,"05",130
"45",2.50000403682068,"06",158
"46",1.83285714285714,"08",215
"47",NA,"09",257
"48",2.83677764915437,"10",276
"49",2.83038051966164,"11",312
"50",2.91356716601671,"12",341
